Designator,Mid X,Mid Y,Rotation,Layer
BT1,188.46875,-100.28125,0.0,top
D1,132.96875,-65.09125,90.0,top
D10,188.46875,-83.59125,90.0,top
D11,206.96875,-83.59125,90.0,top
D12,225.46875,-83.59125,90.0,top
D13,132.96875,-111.34125,90.0,top
D14,151.46875,-111.34125,90.0,top
D15,169.96875,-111.34125,90.0,top
D2,151.46875,-65.09125,90.0,top
D3,169.96875,-65.09125,90.0,top
D4,188.46875,-65.09125,90.0,top
D5,206.96875,-65.09125,90.0,top
D6,225.46875,-65.09125,90.0,top
D7,132.96875,-83.59125,90.0,top
D8,151.46875,-83.59125,90.0,top
D9,169.96875,-83.59125,90.0,top
S1,123.71875,-61.28125,0.0,top
S10,179.21875,-79.78125,0.0,top
S11,197.71875,-79.78125,0.0,top
S12,216.21875,-79.78125,0.0,top
S13,123.71875,-107.53125,0.0,top
S14,142.21875,-107.53125,0.0,top
S15,160.71875,-107.53125,0.0,top
S2,142.21875,-61.28125,0.0,top
S3,160.71875,-61.28125,0.0,top
S4,179.21875,-61.28125,0.0,top
S5,197.71875,-61.28125,0.0,top
S6,216.21875,-61.28125,0.0,top
S7,123.71875,-79.78125,0.0,top
S8,142.21875,-79.78125,0.0,top
S9,160.71875,-79.78125,0.0,top
SW1,105.21875,-93.83125,90.0,top
U1,105.21875,-67.99125,0.0,top
